establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|filter_list_company_name|stripped_company_name
J.D. Miles & Sons Inc.|J.D. Miles & Sons Inc|VA|1|21|25|45171|540623631|'J.D. Miles & Sons Inc.'|j.d. miles & sons
Owens Corning Brentwood|Owens Corning|NH|1|2|100|235617|743189734|'Owens Corning'|owens corning
Graham Roofing Incorporated|Graham Roofing Incorporated|MS|1|21|38|70513|640512412|'Graham Roofing Inc.'|graham roofing
Sherriff-Goslin Company|Sherriff-Goslin Company|MI|1|22|157|233409||'Sherriff-Goslin Co.'|sherriff-goslin
Albany Office|Titan Roofing, Inc.|NY|1|22|138|270570|042630303|'Titan Roofing'|titan roofing
Quincy Office|Titan Roofing, Inc.|MA|1|22|137|259538|042630303|'Titan Roofing'|titan roofing
Industrial First, Inc.|Industrial First, Inc.|OH|1|22|131|266502|341459591|'Industrial First Inc.'|industrial first
Asheville|Baker Roofing|NC|1|1|25|56959|560130810|'Baker Roofing Co.'|baker roofing
Charleston|Baker Roofing|SC|1|1|39|77810|560130810|'Baker Roofing Co.'|baker roofing
Nashville|Baker Roofing|TN|1|1|42|85338|560130810|'Baker Roofing Co.'|baker roofing
Restoration|Baker Roofing|NC|1|1|29|57577|560130810|'Baker Roofing Co.'|baker roofing
Roanoke|Baker Roofing|VA|1|1|52|102156|560130810|'Baker Roofing Co.'|baker roofing
SiVance LLC|Milliken & Company|FL|1|2|136|265733|510105342|'Milliken & Company'|milliken &
Tarheel Roofing, Inc.|Tarheel Roofing, Inc.|FL|1|21|65|135335|592679504|'Tarheel Roofing Inc.'|tarheel roofing
Ewing Buick GMC of Plano|Ewing Group|TX|1|2|160|332800|751098699|'Ewing Associates'|ewing
Wray Roofing, Inc|Wray Roofing|KS|1|21|87|191922|480924349|'Wray Roofing Inc.'|wray roofing
warehouse|JRT Top Notch Roofs, LLC|WI|1|21|19|28116|452933462|'JRT Top Notch Roofs LLC'|jrt top notch roofs
Preferred Management Corporation|Preferred Management Corporation|OK|1|2|38|68327|731312311|'Preferred Construction Services Inc.'|preferred
Coleman County Medical Center|Preferred Management Corp|OK|1|22|126|188100|453780407|'Preferred Construction Services Inc.'|preferred
Owens Corning|Owens Corning|MO|1|22|210|442451|250729265|'Owens Corning'|owens corning
Unilock Chicago|Unilock Inc.|IL|1|22|152|416018|363480878|'Unilock'|unilock
Saukville|JT Rams LLC|WI|1|21|28|39228|452862309|'JT Rams'|jt rams
TRANS COASTAL CONSTRUCTION|TRANS COASTAL CONSTRUCTION|FL|1|1|11|20466|591566091|'Trans Coastal Construction'|trans coastal
