establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|match_company_name|stripped_company_name|company_name_multiple_match
Coleman Home Health and Hospice|Preferred Management Corp.|TX|1|2|6|10430|463113740|'Preferred Construction Services Inc.'|preferred|false
West Texas Home Health, Inc dba Bluebonnet Home Health and Hospice|Preferred Management Corp|TX|1|1|11|20532|203346677|'Preferred Construction Services Inc.'|preferred|false
Graham Prewett, Inc.|Graham Prewett, Inc.|CA|1|2|78|137794|770565773|'Graham Prewett Inc.'|graham prewett|false
CBRE @ Novartis East Hanover|CBRE Inc.|NJ|1|2|92|177616|952743174|'CBRE'|cbre|false
Jottan, Inc.|Jottan, Inc.|NJ|1|2|81|156558|222768915|'Jottan Inc.'|jottan|false
Corporate Office|GAF|NJ|1|3|746|1747200|364866695|'GAF'|gaf|false
Atlas Molded Products - Denver|Atlas Roofing|CO|1|2|16|34343|640661823|'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Quality Roofing, Inc|Quality Roofing, Inc|FL|1|2|163|401171|900679536|'Quality Roofing', 'Quality Roofing Inc.', 'Quality Roofing Solutions', 'Quality Roofing Solutions LLC'|quality roofing|true
Chinook Roofing|Chinook Roofing|WA|1|2|140|246401|800628673|'Chinook Roofing'|chinook roofing|false
R.K. Hydro-Vac, PA, Inc|R.K. Hydro-Vac, PA, Inc|PA|1|2|37|83000|311290225|'R.K. Hydro-Vac Inc.'|r.k. hydro-vac|false
The Emeralds At Grand Rapids|Monarch|MN|1|2|15|118154|833143692|'Monarch Consulting Services'|monarch|false
Laraway Roofing, Inc.|Laraway Roofing, Inc.|MN|1|1|10|17141|410986127|'Laraway Roofing Inc.'|laraway roofing|false
Redwood Distribution Center|Milliken & Company|SC|1|2|20|24960|510105342|'Milliken & Company'|milliken &|false
Carolina Asphalt|Brothers National|NC|1|2|41|88294|873875709|'Brothers Services Co.'|brothers|false
D.A. Nolt, Inc.|D.A. Nolt, Inc.|NJ|1|2|47|88196|223062854|'D.A. Nolt Inc.'|d.a. nolt|false
Columbus OH Soltech Owens Corning|Owens Corning|OH|1|2|38|80450|432109021|'Owens Corning'|owens corning|false
Trilogy Plastics Plant 1|Myers Industries|OH|1|2|140|255008|871574815|'Myers Consulting'|myers|false
Trilogy Plastics Plant 2|Myers Industries|OH|1|2|54|98360|871574815|'Myers Consulting'|myers|false
Sullivan Roofing, Inc.|Sullivan Roofing, Inc.|IL|1|2|75|164580||'Sullivan Roofing Inc.'|sullivan roofing|false
Pinnacle Roofing Inc.|Pinnacle Roofing Inc.|NY|1|2|26|45130|200593022|'Pinnacle Roofing'|pinnacle roofing|false
D.R. Kidd Company Inc.|Kidd Roofing|TX|1|2|84|160475|742736561|'Kidd Roofing'|kidd roofing|false
Stickney WRP|Metropolitan Water Reclamation District of Greater Chicago|IL|3|3|645|1067141||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
O'Brien WRP|Metropolitan Water Reclamation District of Greater Chicago|IL|3|2|182|303704||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Main Office Building Annex (MOBA)|Metropolitan Water Reclamation District of Greater Chicago|IL|3|3|274|266464||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Main Office Building (MOB)|Metropolitan Water Reclamation District of Greater Chicago|IL|3|2|221|233732||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Kirie WRP|Metropolitan Water Reclamation District of Greater Chicago|IL|3|2|42|68410||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Hanover Park WRP|Metropolitan Water Reclamation District of Greater Chicago|IL|3|2|22|37191||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Egan WRP|Metropolitan Water Reclamation District of Greater Chicago|IL|3|2|66|114205||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Aspen Group LTD.|BlueThread Services|CO|1|2|33|85800||'BlueThread Services'|bluethread|false
Calumet WRP|Metropolitan Water Reclamation District of Greater Chicago|IL|3|3|266|436073||'Metropolitan Water Reclamation District of Greater Chicago'|metropolitan water reclamation district of greater chicago|false
Peak View Roofing|BlueThread Services|CO|1|2|50|130000||'BlueThread Services'|bluethread|false
Revelation Roofing LLC|BlueThread Services|CO|1|2|35|91000||'BlueThread Services'|bluethread|false
RoofCARE|BlueThread Services|NM|1|2|55|143000||'BlueThread Services'|bluethread|false
CertainTeed, LLC|CertainTeed, LLC|MO|1|3|287|639280|232510893|'CertainTeed LLC'|certainteed|false
Morgan Advanced Materials|GreenWood, Inc.|GA|1|2|39|80834|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. -   Home Office|GreenWood, Inc.|SC|1|1|14|27120|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. -  Merck|GreenWood, Inc.|VA|1|2|99|182183|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. - Fuji (Medical|GreenWood, Inc.|SC|1|1|1|1931|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. - GE Aviation|GreenWood, Inc.|AL|1|1|20|38427|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. - GE Durham|GreenWood, Inc.|NC|1|2|1|2189|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. - Honeywell|GreenWood, Inc.|SC|1|2|23|41086|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. - Kureha|GreenWood, Inc.|WV|1|1|13|23154|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. - Toyota|GreenWood, Inc.|WV|1|2|23|42088|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc. - ZF Transmission|GreenWood, Inc.|SC|1|2|28|54171|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.-  Mitsubishi|GreenWood, Inc.|SC|1|2|35|64355|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.- Caterpiller|GreenWood, Inc.|GA|1|2|46|86510|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.- Dow (South Charleston)|GreenWood, Inc.|WV|1|2|78|146727|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.- Fuji Film|GreenWood, Inc.|IL|1|2|41|79861|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.- GE Piedmont|GreenWood, Inc.|SC|1|1|16|30155|570967122|'Greenwood Industries Inc.'|greenwood|false
GreenWood, Inc.- Greer - West Projects|GreenWood, Inc.|SC|1|1|5|8738|570967122|'Greenwood Industries Inc.'|greenwood|false
