company_name|ein|annual_average_employees_2020|annual_average_employees_2021|annual_average_employees_2022|annual_average_employees_2023|annual_average_employees_2024|total_hours_worked_2020|total_hours_worked_2021|total_hours_worked_2022|total_hours_worked_2023|total_hours_worked_2024|pitchbook_list_website|pitchbook_list_company_name|top100_company_name|nrca_list_company_name|affinity_organizations_20250915_141926_company_name|osha_company_name|stripped_company_name
ARS Tecta America||65|0|0|0|0|133719|0|0|0|0||||||ARS Tecta America|ars tecta america
ARTISAN ROOFING SYSTEMS LLC|274060336|46|0|0|0|0|22902|0|0|0|0||||Artisan Roofing Solutions||ARTISAN ROOFING SYSTEMS LLC|artisan roofing
ASI Commercial Roofing|371419244|0|0|70|74|75|0|0|141153|146494|155156||||||ASI Commercial Roofing|asi commercial roofing
ASTA ROOFING  CONSTRUCTION, LLC|452470602|0|0|0|0|20|0|0|0|0|28190||||||ASTA ROOFING  CONSTRUCTION, LLC|asta roofing
AVCO Commercial LLC|934042366|0|0|0|0|20|0|0|0|0|42488||||||AVCO Commercial LLC|avco commercial
AVCO Residential LLC|933993300|0|0|0|0|23|0|0|0|0|36593||||||AVCO Residential LLC|avco residential
AVI Inc.|841474198|94|97|94|153|118|157377|179607|178657|194728|236254|||||Avi|AVI Inc.|avi
AVODA|461415884|0|0|0|0|29|0|0|0|0|65000||||||AVODA|avoda
AZ Roofing Works LLC|461529559|0|26|32|0|0|0|36256|53000|0|0||||||AZ Roofing Works LLC|az roofing works
AZTEKA CONSTRUCTION INC|651078406|0|5|0|0|0|0|2660|0|0|0||||||AZTEKA CONSTRUCTION INC|azteka
Academy Roofing C|043758635|0|0|0|0|31|0|0|0|0|79036||||||Academy Roofing C|academy roofing c
Academy Roofing Inc.|840858941|92|0|78|76|82|190849|0|167194|155698|183367||||Academy Roofing Inc.||Academy Roofing Inc.|academy roofing
Academy Roofing and Sheet Metal|262559067|89|86|84|92|80|213006|197173|196179|256573|204283|academyroofing.com|Academy Roofing & Sheet Metal Co.||Academy Roofing & Sheet Metal Co.||Academy Roofing and Sheet Metal|academy roofing & sheet metal
Ace Roofing LLC|208967459|0|0|27|30|31|0|0|44632|57696|66139|ace-roofs.com|ACE Roofing Services||Ace Roofing Inc.||Ace Roofing LLC|ace roofing
Acoma Roofing, Inc.|593176319|0|0|0|26|0|0|0|0|43264|0||||||Acoma Roofing, Inc.|acoma roofing
Active Roofing, LLC|873402093|0|0|0|44|44|0|0|0|121780|60175|www.activeroofing.com|Active Roofing||Active Roofing Co. Inc.||Active Roofing, LLC|active roofing
Adam Roe Painting, Inc.|820445312|0|0|32|34|34|0|0|45611|52238|47123||||||Adam Roe Painting, Inc.|adam roe painting
Adam Vaillancourt Roofing||0|0|23|30|0|0|0|52132|40568|0|www.adamvroofing.com|Adam Vaillancourt Roofing||||Adam Vaillancourt Roofing|adam vaillancourt roofing
Aderhold Roofing|275227926|30|0|36|48|0|56816|0|68873|88607|0||||Aderhold Roofing||Aderhold Roofing|aderhold roofing
Adobe Paint LLC|861022696|0|0|0|48|0|0|0|0|104000|0||||||Adobe Paint LLC|adobe paint
Advance Builders Corp|421472372|0|0|24|0|0|0|0|50600|0|0||||||Advance Builders Corp|advance builders
Advanced Industrial Roofing, Inc.||80|80|80|65|60|109926|115522|119604|105534|99928||||Advanced Industrial Roofing Inc.||Advanced Industrial Roofing, Inc.|advanced industrial roofing
Advanced Roof Design, Inc.|470858695|0|23|0|30|0|0|44520|0|59872|0||||Advanced Roof Design Inc.||Advanced Roof Design, Inc.|advanced roof design
Advanced Roofing Inc|382819536|21|31|35|635|721|34245|46394|61484|133185081|1441112|advancedroofing-northampton.co.uk|Advanced Roofing Services (Northampton)|Advanced Roofing, Inc.|Advanced Roofing Systems Ltd.||Advanced Roofing Inc|advanced roofing
Advantage Roofing & Exteriors|383507495|35|31|27|29|32|28360|65306|57625|62492|69844||||||Advantage Roofing & Exteriors|advantage roofing & exteriors
Advantage USAA, Inc|742950238|0|0|0|0|11|0|0|0|0|22880||||Advantage USAA Inc.||Advantage USAA, Inc|advantage usaa
Advocate Construction inc|461290497|0|0|0|217|259|0|0|0|423982|496197|www.advocateconstruction.com|Advocate Construction|Advocate Construction|Advocate Construction|Advocate Technologies|Advocate Construction inc|advocate
Aetna Roofing Corporation|221860177|71|87|0|79|88|141219|166928|0|152485|169167||||||Aetna Roofing Corporation|aetna roofing
Ajl Group LLC||0|0|0|0|10|0|0|0|0|18720||||AJL Group||Ajl Group LLC|ajl
