id,establishment_name,establishment_id,ein,company_name,street_address,city,state,zip_code,naics_code,naics_year,industry_description,establishment_type,size,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_skin_disorders,total_respiratory_conditions,total_poisonings,total_hearing_loss,total_other_illnesses,created_timestamp,change_reason,year_filing_for,sector,zipcode,naics_char
2508523,Watts & Associates Roofing Inc,171479,570636830,Watts & Associates Roofing Inc,7416 Fairfield Road,Columbia,SC,29203,238160,2012,Roofing contractors,1,21,25,54129,2,0,0,0,0,0,0,0,0,0,0,0,0,09JAN25:14:03:00,,2024,Construction,29203,238160
2548122,Preservation Services,172907,363833640,"Preservation Services, Inc.",221 E. Rocbaar Drive,Romeoville,IL,60446,238160,2012,Low slope roofing installation,1,21,18,34925,2,0,0,0,0,0,0,0,0,0,0,0,0,22JAN25:21:32:00,,2024,Construction,60446,238160
2539496,Gustafson Industries Inc,175920,592741607,Gustafson Industries Inc,716 SE 1st St,Boynton Beach,FL,33435,238160,2012,Roofing contractors,1,21,43,98920,1,0,0,1,0,0,20,1,0,0,0,0,0,21JAN25:15:50:00,,2024,Construction,33435,238160
2719837,"Quality Roofing, Inc",181060,900679536,"Quality Roofing, Inc",1905 N 40th Street,Tampa,FL,33605,238160,2012,Roofing contractors,1,22,132,314494,1,0,1,0,5,6,0,6,0,0,0,0,0,24FEB25:19:10:00,,2024,Construction,33605,238160
2776898,Combined Roofing Services LLC,181947,261144132,Combined Roofing Services LLC,621 W. Washington Street,West Chicago,IL,60185,238160,2012,Roofing contractors,1,21,84,151312,1,0,3,0,0,272,32,3,0,0,0,0,0,27FEB25:15:45:00,,2024,Construction,60185,238160
2660283,"the Melanson company, a Tecta America Company LLC",190399,832207831,"the Melanson company, a Tecta America Company LLC",353 West Street,Keene,NH,03431,238160,2012,Roofing contractors,1,21,75,143585,1,0,2,3,3,2,105,8,0,0,0,0,0,13FEB25:12:45:00,,2024,Construction,03431,238160
2660282,"the Melanson company, a Tecta America Company LLC Bow Division",190401,832207831,"the Melanson company, a Tecta America Company LLC Bow Divison",5 Ferry Road,Bow,NH,03304,238160,2012,Roofing contractors,1,21,20,38734,1,0,0,1,0,0,5,1,0,0,0,0,0,13FEB25:12:43:00,,2024,Construction,03304,238160
2571122,CAW St. Louis Office,191535,430889860,Coatings Application & Waterproofing Co.,5125 N. 2nd St.,St. Louis,MO,63147,238160,2012,Roofing contractors,1,21,44,88637,2,0,0,0,0,0,0,0,0,0,0,0,0,28JAN25:19:16:00,,2024,Construction,63147,238160
2571140,CAW Florida Division Warehouse,191730,430889860,Coatings Application & Waterproofing Co.,6423 West Jones Ave.,Zellwood,FL,32798,238160,2012,Roofing contractors,1,1,8,13955,2,0,0,0,0,0,0,0,0,0,0,0,0,28JAN25:19:17:00,,2024,Construction,32798,238160
2654843,DPR,192450,650738224,D Peck Roofing Inc,2990 Cargo St,Fort Myers,FL,33916,238160,2012,Roofing contractors,1,21,37,17699,1,0,0,1,1,0,41,2,0,0,0,0,0,12FEB25:13:55:00,,2024,Construction,33916,238160
