company_name|osha_company_name|annual_average_employees|total_hours_worked|ein|stripped_company_name|pitchbook_list_company_name|pitchbook_list_website|top100_company_name|nrca_list_company_name
American Building Contractors|American Building Contractors|85|175691|431924245|american building||||American Building Contractors Inc
American Home Contractors, LLC|American Home Contractors, LLC|25|52600|882217292|american home||||
American Roofing & Metal Cincinnati|American Roofing & Metal Cincinnati|50|104331|611092077|american roofing & metal cincinnati||||
American Roofing & Metal Co., Inc.|American Roofing & Metal Co., Inc.|92|181020|741609768|american roofing & metal|American Roofing & Metal Co.|amerroofing.com||American Roofing & Metal Co. Inc.
American Roofing & Metal Lexington|American Roofing & Metal Lexington|14|33754|611092077|american roofing & metal lexington||||
Ampco Roofing|Ampco Roofing|11|22690||ampco roofing||||
Amundson Roofing, Inc|Amundson Roofing, Inc|43|88500|860891134|amundson roofing||||
Andy's Roofing Co Inc|Andy's Roofing Co Inc|20|41922|770157073|andy's roofing||||Andy's Roofing Co. Inc.
Anthony Roofing Tecta America|Anthony Roofing Tecta America|56|115432|362699848|anthony roofing tecta america||||Anthony Roofing Tecta America LLC
Antilles Roofing Co., Inc.|Antilles Roofing Co., Inc.|27|46948|660431773|antilles roofing||||
Antis Roofing And Waterproofing|Antis Roofing And Waterproofing|144|243518|274099954|antis roofing & waterproofing|||Antis Roofing & Waterproofing|Antis Roofing & Waterproofing LLC
Apex Exteriors, Inc.|Apex Exteriors, Inc.|72|151507|263707762|apex exteriors||||
Apollo Primm Atlanta|Apollo Primm Atlanta|30|67023|582065838|apollo primm atlanta||||
Apple Roofing, LLC|Apple Roofing, LLC|239|492850|871607348|apple roofing|Apple Roofing (Roofing Services)|www.appleroof.com||Apple Roofing Corp.
Applied Roofing Solutions, Inc.|Applied Roofing Solutions, Inc.|32|73255|453595919|applied roofing|Applied Roofing Services|www.appliedroofingservices.com||Applied Roofing Systems Inc.
Arapahoe Roofing and Sheet Metal, Inc.|Arapahoe Roofing and Sheet Metal, Inc.|183|298710|840633163|arapahoe roofing & sheet metal||||Arapahoe Roofing & Sheet Metal Inc.
