establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|match_company_name|stripped_company_name|company_name_multiple_match
|Apex Roofing & General Contractors||||||||apex roofing & general|false
|Apex Roofing & Restoration||||||||apex roofing & restoration|false
|Apex Roofing Services||||||||apex roofing|false
Apple Roofing|Apple Roofing||1.00|2.00|33.00|56371.00||'Apple Roofing Corp.'|apple roofing|false
|Apple Roofing (Roofing Services)||||||||apple roofing (roofing services)|false
Applied Roofing Systems Inc|Applied Roofing Services||1.00|2.00|18.00|33148.00|042789449|'Applied Roofing Systems Inc'|applied roofing|false
|Approved Rubber Roofing Contractors||||||||approved rubber roofing|false
|AR Roofing (Kansas)||||||||ar roofing (kansas)|false
Wichita Office|Ar Roofing Contractors||1.00|2.00|25.00|52000.00|050571696|'AR Roofing'|ar roofing|false
|Arc Roofing & Building Contractor||||||||arc roofing & building contractor|false
|Arcadia Roofing||||||||arcadia roofing|false
|Arcadia Roofing and Siding||||||||arcadia roofing and siding|false
|Armstrong Roofing Services||||||||armstrong roofing|false
|Arocon Roofing & Construction||||||||arocon roofing &|false
|Arrow Roofing Services||||||||arrow roofing|false
|Arrowhead Building Supply||||||||arrowhead building supply|false
|Arroyo's Roofing||||||||arroyo's roofing|false
|ARS Construction||||||||ars|false
|Artigues Roofing & Restoration Services||||||||artigues roofing & restoration|false
|Ashburn Pro Roofing||||||||ashburn pro roofing|false
|Ashby's Building & Roofing Services||||||||ashby's building & roofing|false
|Aspect Roofing Services||||||||aspect roofing|false
|Aspire Roofing Contractors||||||||aspire roofing|false
|Aspire Roofing Services||||||||aspire roofing|false
|ASSOC ROOFING CONTRACTORS OF NORTHERN CALIF||||||||assoc roofing contractors of northern calif|false
|ASSOCIATED ROOFING CONTRACTORS OF THE BAY AREA COUNTIES||||||||associated roofing contractors of the bay area counties|false
|ASSOCIATED SHEET METAL AND ROOFING CONTRACTORS OF CONNECTICUT||||||||associated sheet metal and roofing contractors of connecticut|false
|ASSURE-U Roofing||||||||assure-u roofing|false
|Aston Roofing Services||||||||aston roofing|false
|ATD Roofing||||||||atd roofing|false
|Atlantic Roofing Distributors||||||||atlantic roofing distributors|false
|Atlas-Apex Roofing||||||||atlas-apex roofing|false
|Attyx||||||||attyx|false
|Authentic Roofing||||||||authentic roofing|false
|Av Roofing And Building||||||||av roofing and building|false
|AVI Roofing||||||||avi roofing|false
|Avonside Group Services||||||||avonside|false
|AWS Roofing Services||||||||aws roofing|false
|Ayrshire & Glasgow Roofing||||||||ayrshire & glasgow roofing|false
|AZ Roofing||||||||az roofing|false
|B & M Roofing of Colorado||||||||b & m roofing of colorado|false
|B and M Roofing Contractors||||||||b and m roofing|false
|B C (Roofing Contractors)||||||||b c (roofing contractors)|false
|B&L Sheet Metal & Roofing||||||||b&l sheet metal & roofing|false
|B&M Roofing Contractor||||||||b&m roofing contractor|false
|Bailey Roofing & Property Services||||||||bailey roofing & property|false
|Bailey Roofing Contractors||||||||bailey roofing|false
Asheville|Baker Roofing||1.00|1.00|21.00|45213.00|560130810|'Baker Roofing'|baker roofing|false
Baker Service|Baker Roofing||1.00|1.00|58.00|106905.00|560130810|'Baker Roofing'|baker roofing|false
Birmingham|Baker Roofing||1.00|1.00|9.00|14454.00|560130810|'Baker Roofing'|baker roofing|false
Charleston|Baker Roofing||1.00|1.00|60.00|120190.00|560130810|'Baker Roofing'|baker roofing|false
Charlotte|Baker Roofing||1.00|1.00|60.00|125424.00|560130810|'Baker Roofing'|baker roofing|false
Chattanooga|Baker Roofing||1.00|1.00|17.00|33953.00|560130810|'Baker Roofing'|baker roofing|false
Coating|Baker Roofing||1.00|1.00|11.00|26399.00|560130810|'Baker Roofing'|baker roofing|false
Columbia|Baker Roofing||1.00|1.00|7.00|16364.00|560130810|'Baker Roofing'|baker roofing|false
Garden Roofing|Baker Roofing||1.00|1.00|10.00|16826.00|560130810|'Baker Roofing'|baker roofing|false
Greensboro|Baker Roofing||1.00|1.00|54.00|109642.00|560130810|'Baker Roofing'|baker roofing|false
Greenville|Baker Roofing||1.00|1.00|11.00|20199.00|560130810|'Baker Roofing'|baker roofing|false
Greenville SC|Baker Roofing||1.00|1.00|11.00|21375.00|560130810|'Baker Roofing'|baker roofing|false
Memphis|Baker Roofing||1.00|1.00|12.00|21553.00|560130810|'Baker Roofing'|baker roofing|false
Myrtle Beach|Baker Roofing||1.00|1.00|17.00|28432.00|560130810|'Baker Roofing'|baker roofing|false
Nashville|Baker Roofing||1.00|1.00|38.00|83050.00|560130810|'Baker Roofing'|baker roofing|false
Orlando|Baker Roofing||1.00|1.00|39.00|87956.00|560130810|'Baker Roofing'|baker roofing|false
Baker Roofing Corporate|Baker Roofing||1.00|1.00|289.00|616759.00|560130810|'Baker Roofing'|baker roofing|false
Residential|Baker Roofing||1.00|1.00|73.00|149150.00|560130810|'Baker Roofing'|baker roofing|false
Residential Branches|Baker Roofing||1.00|1.00|19.00|35645.00|560130810|'Baker Roofing'|baker roofing|false
Restoration|Baker Roofing||1.00|1.00|22.00|46705.00|560130810|'Baker Roofing'|baker roofing|false
1515 Lake Wheeler/SMS|Baker Roofing||1.00|1.00|23.00|44062.00|560130810|'Baker Roofing'|baker roofing|false
