"id","company_name","establishment_name","ein","street_address","city","state","zip_code","naics_code","industry_description","annual_average_employees","total_hours_worked","no_injuries_illnesses","total_deaths","total_dafw_cases","total_djtr_cases","total_other_cases","total_dafw_days","total_djtr_days","total_injuries","total_poisonings","total_respiratory_conditions","total_skin_disorders","total_hearing_loss","total_other_illnesses","establishment_id","establishment_type","size","year_filing_for","created_timestamp","change_reason"
1366877,"COASTAL ROOFING INC.","COASTAL ROOFING INC.","800624061","PO BOX 56965","JACKSONVILLE","FL","32241",238160," Roofing contractors ",45,93600,2,0,0,0,0,0,0,0,0,0,0,0,0,743486,1,2,2020,3/24/2021 18:47:09,
1367376,"NEW CENTURY ROOFING, LLC","NEW CENTURY ROOFING, LLC","451564913","55 LEONARD STREET","FOXBORO","MA","02035",238160," Asphalt roof shingle installation ",26,35640,2,0,0,0,0,0,0,0,0,0,0,0,0,743740,1,2,2020,3/25/2021 16:38:18,
1367445,"J.M. Young & Sons, Inc.","J.M. Young & Sons, Inc.","231402276","10 Trella Street","Belleville","PA","17004",238160," Roofing contractors ",36,41841,1,0,1,0,0,164,0,1,0,0,0,0,0,409685,1,2,2020,3/25/2021 18:32:57,
1367449,"Universal Roofing","Universal Roofing","205014410","5530 W 84th St","Indianapolis","IN","46268",238160," Roofing contractors ",23,47840,2,0,0,0,0,0,0,0,0,0,0,0,0,743764,1,2,2020,3/25/2021 18:38:40,
1367504,"Lehman Roofing, Inc","Lehman Roofing, Inc",,"2005 Allens Ln","Evansville","IN","47720",238160," Roofing contractors ",27,56399,2,0,0,0,0,0,0,0,0,0,0,0,0,344172,1,2,2020,3/25/2021 20:05:10,
1367506,"Midwest Roofing-Sheet Metal","Midwest Roofing-Sheet Metal",,"1208 N. Harlan Ave","Evansville","IN","47711",238160," Roofing contractors ",86,179707,1,0,0,1,0,0,10,1,0,0,0,0,0,589262,1,2,2020,3/25/2021 20:07:49,
1367520,,"Servall, LLC  - Termite/Pest Control/Gutters/Restoration",,"900 Tyson Ave","Paris","TN","38242",238160," Roofing contractors ",206,428716,2,0,0,0,0,0,0,0,0,0,0,0,0,497830,1,2,2020,3/25/2021 20:28:47,
1367652,"TRYLOCK ROOFING CO. INC.","TRYLOCK ROOFING CO. INC.","010930909","440 Northwood Dr","Tonawanda","NY","14223",238160," Low slope roofing installation ",22,18120,1,0,4,0,0,9,0,4,0,0,0,0,0,743857,1,2,2020,3/26/2021 15:26:38,
1367657,"Viking Roofing, Inc","Viking Roofing, Inc",,"10 Clinton Dr","Hollis","NH","03049",238160," Roofing contractors ",15,30594,1,0,1,0,0,39,0,1,0,0,0,0,0,392249,1,2,2020,3/26/2021 15:29:04,
1367844,"Triad Inc.","Triad Inc.","800728621","2929 SW US 40 HWY","Blue Springs","MO","64015",238160," Roofing contractors ",35,67448,2,0,0,0,0,0,0,0,0,0,0,0,0,645631,1,2,2020,3/26/2021 20:48:00,
1368198,"Macri Roofing, Inc.","Macri Roofing, Inc.","060887578","36 Duffy Ave","Meriden","CT","06451",238160," Low slope roofing installation ",20,47444,2,0,0,0,0,0,0,0,0,0,0,0,0,156009,1,2,2020,3/29/2021 15:38:49,
1368209,"Union Roofing & Sheet Metal Company","Union Roofing & Sheet Metal Company",,"430 North Seventh Street","Altoona","PA","16601",238160," Roofing contractors ",3,5704,2,0,0,0,0,0,0,0,0,0,0,0,0,493973,1,1,2020,3/29/2021 15:51:21,
