osha_company_name|annual_average_employees|total_hours_worked|ein|stripped_company_name|pitchbook_list_company_name|pitchbook_list_website|nrca_list_company_name
||||bravo's roofing|Bravo's Roofing|bravosroof.com|
||||brazen roofing|Brazen Roofing|brazenroofing.com|
||||brd roofing|Brd Roofing Services|brdroofingservices.co.uk|
||||breakers roofing and building|Breakers Roofing And Building Contractors|breakersroofingandbuilding.co.uk|
||||bri-den roofing|Bri-Den Roofing|www.bridenroofing.com|
||||bridgewater roofing|Bridgewater Roofing Contractors|bridgewaterroofing.net|
||||bridgewood roofing & general|Bridgewood Roofing & General Contractors|bridgewoodroofing.com|
||||briggs roofing|Briggs Roofing Services|rooferinleeds.co.uk|
||||broomfield roofing|Broomfield Roofing Services|unknown|
||||brothers|Brothers Services|www.brothersservices.com|
||||broward roofing supply of hallandale|Broward Roofing Supply of Hallandale|www.browardroofingsupply.com|
||||brown roofing|Brown Roofing Contractors|brown-roofing.co.uk|
||||brown's roofing|Brown's Roofing|brownsroofingla.com|
||||brunwin professional roofing|Brunwin Professional Roofing Services|brunwinroofing.co.uk|
||||bsw roofing|BSW Roofing Contractors|bswroofing.com|
||||bt roofing|Bt Roofing Services|btroofingservices.co.uk|
||||bulldog roofing|Bulldog Roofing|www.bulldog-roof.com|
||||bumble roofing|Bumble Roofing|www.bumbleroofing.com|
||||burgin roofing|Burgin Roofing Services|burginroofing.com|
||||burke|Burke Industries|www.burkeind.com|
||||burns & scalo|Burns & Scalo|www.burns-scalo.com|
||||bury roofing|Bury Roofing Services|bury-roofing.co.uk|
||||byford roofing|Byford Roofing Services|byfordroofing.com|
||||byrne roofing|Byrne Roofing Services|unknown|
||||c|C|F Roofing|
||||c hynes roofing|C Hynes Roofing Services|chynesroofing.co.uk|
||||c j roofing|C J Roofing Services|roofingcountydurham.co.uk|
||||c s roofing|C S Roofing Contractors|roofersineastbourne.com|
||||c&j harrison roofing|C&J Harrison Roofing Services|candjharrisonroofingservices.co.uk|
||||c. j. s. roofing|C. J. S. Roofing Contractors|cjsroofing.co.uk|
||||c.h.i. roofing|C.H.I. Roofing|731roof.com|
||||ca|CA Group (Building Products)|www.cagroup.co.uk|
||||caden roofing|Caden Roofing Services|cadenroofing.com|
||||cal's roofing|Cal's Roofing|calsroofing.com|
||||cambie roofing|Cambie Roofing Contractors|cambieroofing.com|
||||cambridge wilson &|Cambridge Wilson & Co.|www.cwcroofing.com|
||||camp facility|Camp Facility Services|www.campfs.com|
||||campany roofing|Campany Roofing|campanyroofing.com|
||||campbell roofing materials|campbell roofing materials co|campbellroofingco.com|
||||cannon roofing|Cannon Roofing|www.cannonroofing.com|
||||canopy home exteriors|Canopy Home Exteriors|canopyhomeexteriors.com|
||||canpro roofing|CanPro Roofing Partners|www.canproroofing.com|
||||capital roofing|Capital Roofing Contractors|capitalroofingcontractors.com|
||||capital roofing & building|Capital Roofing & Building Services|capitalroofs.co.uk|
||||capital roofing services edinburgh|Capital Roofing Services Edinburgh|capitalroofingservicesedinburgh.co.uk|
||||cardinal roofing and restoration|Cardinal Roofing and Restoration|www.cardinal-roof.com|
||||carmen roofing|Carmen Roofing Services|www.carmenroofing.com|
||||carpenter's roofing & sheet metal|Carpenter's Roofing & Sheet Metal|www.carpentersroofing.com|
||||carrillo roofing|CARRILLO ROOFING SERVICES|carrilloroofingswf.com|
||||carroll & sons roofing|Carroll & Sons Roofing|www.carrollsons.com|
