company_name|ein|stripped_company_name|annual_average_employees_2020|annual_average_employees_2021|annual_average_employees_2022|annual_average_employees_2023|annual_average_employees_2024|total_hours_worked_2020|total_hours_worked_2021|total_hours_worked_2022|total_hours_worked_2023|total_hours_worked_2024
Metropolitan Construction Systems, Inc.|300270643|metropolitan|0|0|64|44|55|0|0|67049|75302|106928
Metz Culinary Management LLC|232766461|metz culinary|0|0|0|6|0|0|0|0|11304|0
Michael J Bollinger Co Inc. dba Bollinger Bros Roofing Contractors|520969693|michael j bollinger co inc. dba bollinger bros roofing|0|0|0|0|33|0|0|0|0|59621
Michael Kevin Walsh Roofing, Inc.|200409869|michael kevin walsh roofing|46|49|42|42|0|66019|85750|65000|84000|0
MICHAEL VAUGHT ROOFING LLC||michael vaught roofing|0|9|9|4|0|0|13827|12791|6990|0
Mid Coast Roofing, INC|811476347|mid coast roofing|30|0|40|0|0|54815|0|28433|0|0
Mid State Roofing Inc|202017040|mid state roofing|25|24|22|0|0|44771|46429|42202|0|0
Mid-South Roof Systems|581876904|mid-south roof|177|160|168|192|206|385000|366000|395405|473000|505276
Mid-State Industries, Ltd|141542080|mid-state|0|0|0|45|45|0|0|0|77050|75356
Mid-State Roofing and Coating Inc.|392050264|mid-state roofing & coating|0|32|36|87|102|0|54540|76165|117006|127961
Midland Engineering Company, Inc.|350152415|midland engineering|0|149|0|0|229|0|283533|0|0|286198
Midnight Sun AUS, LLC|841878857|midnight sun aus|0|0|0|24|0|0|0|0|48253|0
Midstate Sheetmetal, Inc|200906061|midstate sheetmetal|0|39|0|0|0|0|81013|0|0|0
Midwest Coating, Inc.|480896503|midwest coating|38|38|38|37|37|81382|80323|77543|84753|93597
Midwest Roofing-Sheet Metal||midwest roofing-sheet metal|86|82|80|92|95|179707|171578|167130|191467|197728
Mikalan Roofing, Inc|382674462|mikalan roofing|39|33|38|46|41|81853|77539|79069|93726|100605
Mike Willis Roofing and Construction, LLC.|273293752|mike willis roofing|30|0|0|0|0|61496|0|0|0|0
Milark Corp|330476693|milark|33|0|0|0|0|51830|0|0|0|0
Mile Square Roofing Co,. Inc.|222623778|mile square roofing|84|84|102|119|114|173313|185155|231825|267149|246837
Miles Roofing, Inc.|541131978|miles roofing|6|7|5|6|6|7196|7857|6110|6578|7569
Miller Painting Company, Inc.|580979409|miller painting|40|40|40|40|40|66523|69753|76896|87098|75023
