company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|website|match_company_name|stripped_company_name|company_name_multiple_match
ASSOCIATED SHEET METAL AND ROOFING CONTRACTORS OF CONNECTICUT|||||||associatedsheetmetal.org||associated sheet metal and roofing contractors of connecticut|false
ASSURE-U Roofing|||||||assure-u.net||assure-u roofing|false
Aston Roofing Services|||||||aston-roofing-services.business.site||aston roofing|false
ATD Roofing|||||||www.atdroofing.com||atd roofing|false
Atlantic Roofing Distributors|||||||www.atlanticroofingdistributors.com||atlantic roofing distributors|false
Atlas-Apex Roofing|||||||www.atlas-apex.com||atlas-apex roofing|false
Attyx|||||||www.attyx.com||attyx|false
Authentic Roofing|||||||authenticroofing.com||authentic roofing|false
Av Roofing And Building|||||||unknown||av roofing and building|false
AVI Roofing|||||||www.aviroofing.com||avi roofing|false
Avonside Group Services|||||||www.avonsidegroup.co.uk||avonside|false
AWS Roofing Services|||||||www.awsroofing.com||aws roofing|false
Ayrshire & Glasgow Roofing|||||||ayrshireroofing.co.uk||ayrshire & glasgow roofing|false
AZ Roofing|||||||azroofingct.com||az roofing|false
B & M Roofing of Colorado|||||||www.bmroofing.com||b & m roofing of colorado|false
B and M Roofing Contractors|||||||bmroofingcontractors.com||b and m roofing|false
B C (Roofing Contractors)|||||||bcroofing-newcastle.co.uk||b c|false
B&L Sheet Metal & Roofing|||||||www.blsheetmetalroofing.com||b&l sheet metal & roofing|false
B&M Roofing Contractor|||||||unknown||b&m roofing contractor|false
Bailey Roofing & Property Services|||||||unknown||bailey roofing & property|false
Bailey Roofing Contractors||1|21|53|91628|421327245|baileyroofing.com|'Bailey Roofing Contractors, Inc.'|bailey roofing|false
Baker Roofing||1|17|706|1472011|560130810|www.bakerroofing.com|'Baker Roofing'|baker roofing|false
Baley Roofing Contractors|||||||roofingcontractorsseattle.com||baley roofing|false
Bar-B Roofing|||||||barbroofing.com||bar-b roofing|false
Bartlett Roofing|||||||www.bartlettroofs.com||bartlett roofing|false
Bath Roofing Contractors|||||||bathroofingcontractorsltd.co.uk||bath roofing|false
Batterbee Roofing|||||||batterbeeroofing.com||batterbee roofing|false
Bayside Siding & Roofing Contractor|||||||baysidesidingnroofing.com||bayside siding & roofing contractor|false
BDC Roof|||||||www.bdclongislandroofing.com||bdc roof|false
Beachcomber Tours Limited|||||||beachcombertours.uk||beachcomber tours|false
Beacon (Interior Products Business)||1, 2|152|1273|1851420|043017184, 061009333, 203921794, 621731936, 860107976|unknown|'Beacon Group, Inc.'|beacon|true
Beacon Roofing|||||||www.beaconroofing.co.uk||beacon roofing|false
