establishment_name|company_name|state|establishment_type|size|annual_average_employees|total_hours_worked|ein|filter_list_company_name|stripped_company_name|company_name_multiple_match
McCarthy Building Companies, Inc. - POH Wharf 3|McCarthy Building Companies|TX|1.00|2.00|12.00|24076.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
McCarthy Building Companies, Inc. - NEWPP Central Plant|McCarthy Building Companies|TX|1.00|2.00|173.00|317545.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
McCarthy Building Companies, Inc. - NEWPP Intake Pump|McCarthy Building Companies|TX|1.00|2.00|27.00|58508.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
McCarthy Building Companies, Inc. - POH Berth 8|McCarthy Building Companies|TX|1.00|2.00|40.00|99242.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
McCarthy Building Companies, Inc. - POF Harbor Levee|McCarthy Building Companies|TX|1.00|1.00|22.00|48712.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
McCarthy Building Companies, Inc. - ITC Ship Dock 5|McCarthy Building Companies, Inc.|TX|1.00|2.00|20.00|41305.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
McCarthy Building Companies, Inc. - POH Container Yard 3|McCarthy Building Companies, Inc.|TX|1.00|1.00|13.00|27476.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
McCarthy Building Companies, Inc. - POH Wharf 6|McCarthy Building Companies, Inc.|TX|1.00|2.00|36.00|54561.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
McCarthy Building Companies, Inc. - Marine & Industrial Office|McCarthy Building Companies|TX|1.00|2.00|32.00|68826.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Oil City Tube Division|Webco Industries Inc.|PA|1.00|2.00|160.00|328611.00|731097133|'WEBCO Services LLC'|webco|false
Webco VAF|Webco Industries Inc|PA|1.00|2.00|39.00|94152.00|731097133|'WEBCO Services LLC'|webco|false
Coleman Home Health and Hospice|Preferred Management Corp.|TX|1.00|2.00|11.00|12602.00|463113740|'Preferred Construction Services Inc.'|preferred|false
Anderson Construction Company|Anderson Construction Company|FL|1.00|1.00|17.00|35360.00|522388318|'Anderson Associates'|anderson|false
Preferred Management Corporation|Preferred Management Corporation|OK|1.00|2.00|32.00|63248.00|731312311|'Preferred Construction Services Inc.'|preferred|false
CertainTeed, LLC|CertainTeed|NY|1.00|2.00|137.00|285557.00|232510893|'CertainTeed LLC'|certainteed|false
Klein Contracting|Klein Contracting|GA|1.00|2.00|23.00|49483.00|581848504|'Klein Contracting Corp.'|klein contracting|false
Karnak Corporation North|Karnak Corporation|NJ|1.00|2.00|57.00|100129.00|135207035|'KARNAK'|karnak|false
Karnak Midwest|Karnak Corporation|IL|1.00|2.00|23.00|39248.00|223671565|'KARNAK'|karnak|false
Karnak West|Karnak Corporation|AZ|1.00|1.00|9.00|17559.00|272302250|'KARNAK'|karnak|false
Karnak South|Karnak Corporation|FL|1.00|1.00|10.00|18685.00|592504454|'KARNAK'|karnak|false
Rayco Roof Service, Inc.|Rayco Roof Service, Inc.|VA|1.00|2.00|27.00|42079.00|541142276|'Rayco Roof Service Inc.'|rayco roof service|false
Owens Corning - Amarillo, TX|Owens Corning|TX|1.00|3.00|452.00|1038170.00||'Owens Corning'|owens corning|false
Clark Roofing Co|Clark Roofing Co|IL|1.00|2.00|82.00|133145.00|362135661|'Clark Roofing Co.', 'Clark Roofing Inc.'|clark roofing|true
Haydon Construction Incorporated|Haydon Construction Incorporated|CA|1.00|2.00|35.00|5661950.00||'Haydon Corporation'|haydon|false
Dayco, Inc.|Dayco, Inc.|VT|1.00|2.00|16.00|36286.00|030340853|'Dayco Inc.'|dayco|false
Environmental Roofing & Waterproofing Main Offices|Environmental Roofing & Waterproofing|CA|1.00|2.00|43.00|59139.00|770572713|'Environmental Roofing & Waterproofing, Inc.'|environmental roofing & waterproofing|false
Dynamic Manufacturing|Dynamic Manufacturing|PA|1.00|2.00|34.00|72112.00|203933236|'Dynamic National'|dynamic|false
Home Instead|Allied LLC|CO|1.00|2.00|216.00|237597.00|863269275|'Allied Construction Services'|allied|false
Great Wolf Lodge|Great Lakes Services LLC|GA|1.00|3.00|600.00|723571.00|271371313|'Great Lakes Systems Inc.'|great lakes|false
Coleman County Medical Center|Preferred Management Corp|OK|1.00|2.00|123.00|242954.00||'Preferred Construction Services Inc.'|preferred|false
River Roofing Inc.|River Roofing Inc.|OR|1.00|2.00|36.00|61908.00|931046398|'River Roofing Inc.'|river roofing|false
Peterson Manufacturing Company|Peterson Manufacturing Company|MO|1.00|3.00|309.00|638266.00|440607507|'Peterson Consulting Group'|peterson|false
Vector Tool & Engineering|Peterson Manufacturing Company|MO|1.00|2.00|33.00|69641.00|440607507|'Peterson Consulting Group'|peterson|false
Pierce Lee Roofing|Pierce Lee Roofing LLC|ND|1.00|2.00|25.00|37873.00|455012876|'Pierce Lee Roofing LLC'|pierce lee roofing|false
Continental Tire the Americas, LLC|Continental Tire the Americas LLC|GA|1.00|3.00|246.00|527736.00|341417030|'Continental Tire the Americas LLC.'|continental tire the americas|false
Roof Check INC|Roof Check Inc|CO|1.00|2.00|55.00|90822.00|841035057|'Roof Check Inc.'|roof check|false
Hale Contracting, Inc.|Hale Contracting, Inc.|NY|1.00|2.00|82.00|122200.00|161513772|'Hale Contracting Inc.'|hale contracting|false
HC NATIONWIDE LLC|HC NATIONWIDE LLC|OH|1.00|2.00|30.00|30862.00|300632487|'HC Nationwide LLC'|hc nationwide|false
RSSI Roofing Company|RSSI Roofing Company|MD|1.00|2.00|48.00|95732.00|274644285|'RSSI Roofing Company'|rssi roofing|false
Boak & Sons, Inc.|Boak & Sons, Inc.|OH|1.00|2.00|154.00|245426.00|341368121|'Boak & Sons Inc.'|boak & sons|false
McCarthy Building Companies, Inc.|McCarthy Building Companies, Inc.|MO|1.00|3.00|880.00|2201753.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Boyd Corporation - Elkhart, IN|Boyd Corporation|IN|1.00|2.00|102.00|193136.00|204672193|'Boyd Inc.'|boyd|false
Cooper Roofing & Solar|Cooper Roofing & Solar|NV|1.00|3.00|290.00|663520.00|270365569|'Cooper Roofing & Solar INC'|cooper roofing & solar|false
Pax Gonzales|Pax LLC|LA|1.00|2.00|34.00|74886.00||'PAX Services Group'|pax|false
Pax Deridder|Pax LLC|LA|1.00|1.00|14.00|33775.00||'PAX Services Group'|pax|false
Waterproofing Associates|Waterproofing Associates|CA|1.00|2.00|165.00|274980.00|770304667|'Waterproofing Associates'|waterproofing|false
Patriot Roofing|Patriot Roofing|WA|1.00|2.00|48.00|108270.00|454206993|'Patriot Roofing', 'Patriot Roofing LLC'|patriot roofing|true
The Original Roofing Company|The Original Roofing Company|NV|1.00|2.00|178.00|352236.00|562335100|'The Original Roofing Company'|the original roofing|false
McDonnell Roofing Inc|McDonnell Roofing Inc|CA|1.00|2.00|35.00|62088.00|330992075|'McDonnell Roofing Inc.'|mcdonnell roofing|false
Gale Construction Company|Gale Construction Company|IL|1.00|2.00|22.00|44540.00||'Gale Associates Inc.'|gale|false
Interstate Construction Development Company|Interstate Construction Development Company|MD|1.00|2.00|130.00|230801.00|522190821|'Interstate Corp.'|interstate|false
Soltech, Sprinfield TN|Owens Corning|TN|1.00|2.00|30.00|63009.00|351575937|'Owens Corning'|owens corning|false
Granite City Roofing, Inc.|Granite City Roofing, Inc.|MN|1.00|2.00|27.00|52211.00|411266940|'Granite City Roofing Inc.'|granite city roofing|false
RW Screw LLC|Precision Capital LTD|OH|1.00|3.00|220.00|507433.00||'Precision Construction Services'|precision|false
Nations Roof East|Nations Roof|NY|1.00|2.00|60.00|75801.00||'Nations Roof', 'Nations Roof LLC'|nations roof|true
Nations Roof MidAtlantic LLC|Nations Roof LLC|MD|1.00|2.00|88.00|150035.00||'Nations Roof', 'Nations Roof LLC'|nations roof|true
The Haskell Company|The Haskell Company|FL|1.00|3.00|1879.00|3577567.00|592387450|'The Haskell Co.'|the haskell|false
Roof Asset Management Inc.|Roof Asset Management Inc.|CA|1.00|2.00|42.00|80888.00|812728224|'Roof Asset Management Inc.'|roof asset|false
PIEDMONT CONSTRUCTION GROUP INC|Piedmont Construction Group|GA|1.00|2.00|48.00|95115.00||'Piedmont Construction Company'|piedmont|false
Alloy Architectural Solutions|Alloy Architectural Solutions|IL|1.00|1.00|12.00|17183.00|824789224|'Alloy Architectural Solutions LLC'|alloy architectural|false
Burgaw|GAF|NC|1.00|2.00|214.00|469302.00|582394554|'GAF'|gaf|false
Turner Roofing Company LTD|Turner Roofing Company LTD|TX|1.00|2.00|65.00|86653.00|742271636|'Turner Roofing Co.'|turner roofing|false
Mt. Vernon Shingle|GAF|IN|1.00|2.00|230.00|465621.00|223626208|'GAF'|gaf|false
Minneapolis|GAF|MN|1.00|2.00|105.00|255096.00|223626208|'GAF'|gaf|false
Industrial Roofing & Construction|Industrial Roofing & Construction LLC|LA|1.00|2.00|69.00|195140.00|263233376|'Industrial Roofing & Construction LLC'|industrial roofing &|false
Cedar City|GAF|UT|1.00|2.00|63.00|139413.00|461261209|'GAF'|gaf|false
Savannah|GAF|GA|1.00|2.00|160.00|380972.00|223626208|'GAF'|gaf|false
Aspen Contracting Inc|Aspen Contracting, Inc.|MO|1.00|2.00|215.00|430250.00|510587434|'Aspen Contracting Inc.'|aspen contracting|false
Quality Roofing, Inc|Quality Roofing, Inc|FL|1.00|2.00|169.00|413007.00|900679536|'Quality Roofing', 'Quality Roofing Inc.', 'Quality Roofing Solutions', 'Quality Roofing Solutions LLC'|quality roofing|true
Soltech INC.|Owens Corning|OH|1.00|2.00|33.00|61650.00|351575937|'Owens Corning'|owens corning|false
MONARCH, Inc.|MONARCH, INC.|OK|1.00|2.00|40.00|83200.00|731209599|'Monarch Consulting Services'|monarch|false
Benchmark Winona|Benchmark|MN|1.00|3.00|609.00|1279200.00|742211011|'Benchmark Inc.'|benchmark|false
Benchmark Rochester|Benchmark|MN|1.00|3.00|487.00|1022751.00|742211011|'Benchmark Inc.'|benchmark|false
Deer park Roofing|Deer Park Roofing|OH|1.00|2.00|120.00|297000.00|311803193|'Deer Park Roofing, LLC'|deer park roofing|false
Richard L. Sensenig Co.|Richard L. Sensenig Co.|PA|1.00|2.00|67.00|140511.00|231663036|'Richard L. Sensenig Co.'|richard l. sensenig|false
6651_15529|WWRC, Inc.|NM|1.00|2.00|35.00|40540.00|850424702|'WWRC Inc.'|wwrc|false
Dynamic Metals LLC|Dynamic Metals LLC|IN|1.00|2.00|114.00|253399.00|900106552|'Dynamic Metals'|dynamic metals|false
Skyline Enterprises|Skyline Enterprises|CA|1.00|2.00|36.00|52464.00|843642337|'Skyline Construction Services Inc.'|skyline|false
Skyline Construction|Skyline Construction|CA|1.00|2.00|194.00|262538.00|943250856|'Skyline Construction Services Inc.'|skyline|false
The Garland Company|The Garland Company|OH|1.00|3.00|360.00|748800.00|341115246|'The Garland Company Inc.'|the garland|false
Recovery Roofing Inc.|Recovery Roofing Inc.|FL|1.00|2.00|30.00|43200.00|843651605|'Recovery Roofing Inc.'|recovery roofing|false
White Bear Lake - BIC|Braun Intertec Corporation|MN|1.00|2.00|48.00|92484.00|411684205|'Braun Intertec Corp.'|braun intertec|false
St Cloud - BIC|Braun Intertec Corp.|MN|1.00|2.00|21.00|43381.00|411684205|'Braun Intertec Corp.'|braun intertec|false
Hibbing - BIC|Braun Intertec Corporation|MN|1.00|2.00|21.00|41855.00|411684205|'Braun Intertec Corp.'|braun intertec|false
Bloomington - BIC|Braun Intertec Corporation|MN|1.00|3.00|360.00|705958.00|411684205|'Braun Intertec Corp.'|braun intertec|false
Bone Roofing Supply, Inc.|Bone Roofing Supply, Inc|IL|1.00|2.00|46.00|98930.00|362729296|'Bone Roofing Supply Inc.'|bone roofing supply|false
Siding Products Group, McPherson|CertainTeed Corporation|KS|1.00|2.00|78.00|151281.00|320613145|'CertainTeed LLC'|certainteed|false
AFP 108 Corp (DBA DoubleTree By Hilton Rochester)|United Capital Corp.|NY|1.00|2.00|144.00|95939.00|208725591|'United Contractors'|united|false
Superior Roofing, Inc.|Superior Roofing, Inc.|CO|1.00|2.00|77.00|146019.00|840917537|'Superior Roofing Inc.', 'Superior Roofing LLC', 'Superior Roofing Services Inc.', 'Superior Roofing Systems Inc.'|superior roofing|true
Campbell Beard Roofing, Inc.|Campbell Beard Roofing, Inc.|CO|1.00|2.00|36.00|87800.00|841297228|'Campbell Beard Roofing Inc.'|campbell beard roofing|false
McPhillips Bros. Roofing Co|McPhillips Bros. Roofing Co|MN|1.00|2.00|50.00|38710.00|411521988|'McPhillips Bros. Roofing Co.'|mcphillips bros. roofing|false
The Roof Depot, Inc.|The Roof Depot, Inc.|GA|1.00|2.00|123.00|255840.00|582385323|'The Roof Depot Inc.'|the roof depot|false
Proform Finishing Products LLC|National Gypsum Company|FL|1.00|2.00|32.00|62992.00|752474490|'National Gypsum Co.'|national gypsum|false
Wolf Commercial Roofing, Inc.|Wolf Commercial Roofing, Inc.|IN|1.00|1.00|12.00|29123.00|823789043|'Wolf Commercial Roofing Inc.'|wolf commercial roofing|false
ATL HD|CENTRAL STATES|GA|1.00|1.00|2.00|4935.00|363095836|'Central States Manufacturing'|central states|false
BWI HD|CENTRAL STATES|MD|1.00|1.00|30.00|6214.00|363095836|'Central States Manufacturing'|central states|false
CHS HD|CENTRAL STATES|SC|1.00|1.00|4.00|9715.00|363095836|'Central States Manufacturing'|central states|false
EWR HD|CENTRAL STATES|NJ|1.00|1.00|8.00|19468.00|363095836|'Central States Manufacturing'|central states|false
CHS CST SOUTH|CENTRAL STATES|SC|1.00|1.00|59.00|112582.00|363095836|'Central States Manufacturing'|central states|false
IND CST SOUTH|CENTRAL STATES|IN|1.00|1.00|5.00|12406.00|363095836|'Central States Manufacturing'|central states|false
JAX CST SOUTH|CENTRAL STATES|FL|1.00|1.00|21.00|17186.00|363095836|'Central States Manufacturing'|central states|false
MIA HD|CENTRAL STATES|FL|1.00|1.00|10.00|21566.00|363095836|'Central States Manufacturing'|central states|false
roofing contractor|Stinson Services|MN|1.00|1.00|10.00|20800.00||'Stinson Services Inc.'|stinson|false
MKE-CST|CENTRAL STATES|IL|1.00|2.00|50.00|133473.00|363095836|'Central States Manufacturing'|central states|false
Monarch Instrument|Monarch International Inc|NH|1.00|2.00|40.00|81981.00|020333450|'Monarch Consulting Services'|monarch|false
ORF CST EAST|CENTRAL STATES|VA|1.00|1.00|1.00|2413.00|363095836|'Central States Manufacturing'|central states|false
Owens Corning Neark Insulation Plant|Owens Corning|OH|1.00|3.00|474.00|1042278.00||'Owens Corning'|owens corning|false
RDU HD|CENTRAL STATES|NC|1.00|2.00|19.00|44143.00|363095836|'Central States Manufacturing'|central states|false
ROA HD|CENTRAL STATES|VA|1.00|1.00|5.00|11084.00|363095836|'Central States Manufacturing'|central states|false
DFW CST SOUTH|CENTRAL STATES|TX|1.00|1.00|8.00|22081.00|363095836|'Central States Manufacturing'|central states|false
FS Washington Employment Inc|Four Seasons LLC|DC|1.00|3.00|367.00|353050.00|522095083|'Four Seasons Construction LLC'|four seasons|false
Statewide Roofing, Inc.|Statewide Roofing, Inc.|NY|1.00|2.00|40.00|50000.00|112684192|'Statewide Roofing Inc.'|statewide roofing|false
Metro Metals Corporation|Metro Metals Corporation|MN|1.00|2.00|39.00|64440.00|900070466|'Metro Metals'|metro metals|false
Fort Smith Plant|Owens Corning|AR|1.00|2.00|75.00|104646.00||'Owens Corning'|owens corning|false
Gordon Contractors Inc.|Gordon Contractors Inc.|MD|1.00|2.00|94.00|177003.00|412043935|'Gordon Contractors Inc.'|gordon|false
Gold Bond Building Products, LLC|National Gypsum Company|OK|1.00|2.00|90.00|184675.00|854331127|'National Gypsum Co.'|national gypsum|false
Commercial Roofers, Inc.|Commercial Roofers, Inc.|NV|1.00|2.00|220.00|318076.00|880371026|'Commercial Roofers Inc.'|commercial roofers|false
Jeff Eubank Roofing|Jeff Eubank Roofing|TX|1.00|2.00|56.00|198186.00|752250258|'Jeff Eubank Roofing Co. Inc.'|jeff eubank roofing|false
Industrial Construction/Engineering|United Group Services|OH|1.00|3.00|375.00|857636.00|311035659|'United Contractors'|united|false
Dynamic Systems INC|Dynamic Systems INC|NY|1.00|2.00|46.00|89003.00|274258481|'Dynamic National'|dynamic|false
Elite Welding Academy|United Group Services|OH|1.00|1.00|19.00|43884.00|510606029|'United Contractors'|united|false
Metalmaster Roofmaster|Metalmaster Roofmaster|IL|1.00|2.00|99.00|205920.00|363376644|'Metalmaster Roofmaster Inc.'|metalmaster roofmaster|false
Compton Roofing Plant|Owens Corning|CA|1.00|2.00|114.00|225202.00||'Owens Corning'|owens corning|false
Gastonia Plant|Owens Corning|NC|1.00|2.00|95.00|185853.00||'Owens Corning'|owens corning|false
Bitumar USA Inc.|Bitumar|MD|1.00|2.00|65.00|89733.00|522159654|'BITUMAR Inc.'|bitumar|false
Indianapolis|RCI, LLC|IN|1.00|3.00|794.00|1355112.00|223530212|'RCI Services LLC'|rci|false
Bemo USA Corporation|Bemo USA Corporation|AZ|1.00|2.00|39.00|78326.00|861017750|'BEMO USA Corp.'|bemo usa|false
Bloom Roofing Systems Inc|Bloom Roofing Systems Inc.|MI|1.00|2.00|104.00|195801.00||'Bloom Roofing Systems Inc.'|bloom roofing|false
MacArthur Park Home Health|preferred management|OK|1.00|2.00|9.00|6781.00||'Preferred Construction Services Inc.'|preferred|false
Fontana|GAF|CA|1.00|2.00|88.00|208742.00|223626208|'GAF'|gaf|false
Tampa|GAF|FL|1.00|2.00|120.00|312043.00|223626208|'GAF'|gaf|false
Shafter Shingle|GAF|CA|1.00|2.00|152.00|380524.00|741925368|'GAF'|gaf|false
Shafter Glass Mat|GAF|CA|1.00|1.00|90.00|184652.00|741925368|'GAF'|gaf|false
Tuscaloosa|GAF|AL|1.00|2.00|150.00|327000.00|751509396|'GAF'|gaf|false
Myerstown|GAF|PA|1.00|2.00|143.00|334294.00|741925368|'GAF'|gaf|false
Statesboro|GAF|GA|1.00|2.00|49.00|121264.00|223626208|'GAF'|gaf|false
Ennis Mat|GAF|TX|1.00|2.00|77.00|178610.00|741925368|'GAF'|gaf|false
Ennis Roofing|GAF|TX|1.00|2.00|164.00|406306.00|741925368|'GAF'|gaf|false
Dallas|GAF|TX|1.00|2.00|148.00|369698.00|205980312|'GAF'|gaf|false
New Columbia TPO|GAF|PA|1.00|2.00|105.00|174247.00|813158452|'GAF'|gaf|false
Chester|GAF|SC|1.00|2.00|91.00|176960.00|223626208|'GAF'|gaf|false
Stockton|GAF|CA|1.00|2.00|30.00|82736.00|223626208|'GAF'|gaf|false
Cumming|GAF|GA|1.00|2.00|37.00|81584.00|203531649|'GAF'|gaf|false
Corporate Office|GAF|NJ|1.00|3.00|746.00|1731400.00|364866695|'GAF'|gaf|false
Phoenix|GAF|AR|1.00|2.00|25.00|62181.00|270673916|'GAF'|gaf|false
Mt. Vernon TPO|GAF|IN|1.00|2.00|36.00|82991.00|223626208|'GAF'|gaf|false
Michigan City|GAF|IN|1.00|2.00|174.00|375196.00|223626208|'GAF'|gaf|false
Gainesville|GAF|TX|1.00|2.00|92.00|212481.00|204921692|'GAF'|gaf|false
Jolly Roofing & Contracting Company Overall|Jolly Roofing and Contracting|TN|1.00|2.00|244.00|487309.00|621624798|'Jolly Roofing and Contracting Co. Inc.'|jolly roofing and contracting|false
R.K. Hydro-Vac, PA, Inc|R.K. Hydro-Vac, PA, Inc|PA|1.00|2.00|39.00|74522.00|311290225|'R.K. Hydro-Vac Inc.'|r.k. hydro-vac|false
Cross Technologies Inc Nissan Canton|Cross Technologies Inc|MS|1.00|2.00|27.00|57511.00|560600094|'Cross Construction CO. INC.'|cross|false
Cross Technologies Inc Nissan Smyrna|Cross Technologies Inc|TN|1.00|2.00|42.00|80817.00|560600094|'Cross Construction CO. INC.'|cross|false
Cross Technologies Inc Oklahoma City|Cross Technologies Inc|OK|1.00|2.00|36.00|74031.00|560600094|'Cross Construction CO. INC.'|cross|false
Cross Technologies Inc Whitsett|Cross Technologies Inc|NC|1.00|2.00|66.00|130934.00|560600094|'Cross Construction CO. INC.'|cross|false
Cross Technologies Automation Group|Cross Technologies Inc|NC|1.00|2.00|42.00|86142.00|560600094|'Cross Construction CO. INC.'|cross|false
Cross Technologies Inc Knoxville|Cross Technologies Inc|TN|1.00|2.00|54.00|110471.00|560600094|'Cross Construction CO. INC.'|cross|false
W A Parish|NRG|TX|1.00|3.00|333.00|701138.00||'NRG Construction LLC'|nrg|false
CCC - Columbus, WI|Consolidated Construction|WI|1.00|1.00|5.00|4401.00|205220958|'Consolidated Enterprises Inc.'|consolidated|false
Gables of Ojai|Parsons Group|CA|1.00|2.00|57.00|93872.00|043682461|'Parsons Corporation'|parsons|false
C.L. Linfoot Comapny|C.L. Linfoot Co.|ND|1.00|2.00|65.00|128582.00|410851042|'C.L. Linfoot Co.'|c.l. linfoot|false
EXCEL Fabrication|EXCEL|LA|1.00|2.00|33.00|60684.00|721329331|'Excel Construction Group'|excel|false
Lutz Roofing Inc|Lutz Roofing Inc|MI|1.00|2.00|199.00|285009.00|382423268|'Lutz Roofing Co. Inc.'|lutz roofing|false
Atlas Roofing Corporation|Atlas Roofing Corporation|OK|1.00|2.00|73.00|223925.00||'Atlas Roofing Company', 'Atlas Roofing Corp.'|atlas roofing|true
Baltimore|GAF|MD|1.00|2.00|160.00|362384.00|223626208|'GAF'|gaf|false
EXCEL Midstream Solutions, Inc.|EXCEL|TX|1.00|2.00|31.00|57595.00|721329331|'Excel Construction Group'|excel|false
EXCEL Maintenance @ Westlake, Calvert City KY|EXCEL|KY|1.00|2.00|80.00|167305.00|721503785|'Excel Construction Group'|excel|false
EXCEL Maintenance @ Westlake, Geismar|EXCEL|LA|1.00|2.00|35.00|78490.00|721503785|'Excel Construction Group'|excel|false
EXCEL Maintenance @ Renewable Energy Group (REG)|EXCEL|LA|1.00|2.00|20.00|51962.00|721503785|'Excel Construction Group'|excel|false
EXCEL Home Office|EXCEL|LA|1.00|2.00|91.00|151183.00||'Excel Construction Group'|excel|false
EXCEL Maintenance @ Shintech, Addis|EXCEL|LA|1.00|2.00|71.00|116725.00|721503785|'Excel Construction Group'|excel|false
EXCEL Maintenance @ Shintech, Freeport|EXCEL|TX|1.00|3.00|388.00|699052.00|721503785|'Excel Construction Group'|excel|false
Global Roofing Group|Global Roofing Group|AZ|1.00|3.00|385.00|950000.00|860254394|'Global Roofing Group'|global roofing|false
Superior Metals|Superior Metal Technologies|IN|1.00|2.00|99.00|220000.00|371446269|'Superior Metal Systems Inc.'|superior metal|false
Williamsburg Office|Pyramid Roofing|VA|1.00|1.00|18.00|31705.00|161755493|'Pyramid Roofing Co. Inc.'|pyramid roofing|false
Hampton Office|Pyramid Roofing|VA|1.00|1.00|20.00|35230.00|161755493|'Pyramid Roofing Co. Inc.'|pyramid roofing|false
Terik Roofing, Inc.|Terik Roofing, Inc.|OH|1.00|2.00|44.00|61401.00||'Terik Roofing Inc.'|terik roofing|false
Parsons Company INC|Parsons Company INC|IL|1.00|2.00|179.00|415357.00||'Parsons Corporation'|parsons|false
Chinook Roofing|Chinook Roofing|WA|1.00|2.00|115.00|170620.00|800628673|'Chinook Roofing'|chinook roofing|false
Hart Street Warehouse|Window World, Inc.|HI|1.00|2.00|70.00|134400.00|942978093|'Window World Inc.'|window world|false
Kingsley Plant|Milliken & Company|GA|1.00|2.00|121.00|256882.00||'Milliken & Company'|milliken &|false
Advanced Industrial Roofing, Inc.|Advanced Industrial Roofing, Inc.|OH|1.00|2.00|80.00|115522.00||'Advanced Industrial Roofing Inc.'|advanced industrial roofing|false
D.R. Kidd Company Inc.|Kidd Roofing|TX|1.00|2.00|101.00|187358.00|742736561|'Kidd Roofing'|kidd roofing|false
D.A. Nolt, Inc.|D.A. Nolt, Inc.|NJ|1.00|2.00|54.00|114019.00|223062854|'D.A. Nolt Inc.'|d.a. nolt|false
DMI OH-1|Dimensional Metals Inc|OH|1.00|2.00|62.00|127855.00|311225408|'Dimensional Metals Inc.'|dimensional metals|false
Pickens Contracting, Inc.|Pickens Contracting, Inc.|SC|1.00|2.00|86.00|194683.00|570481031|'Pickens Contracting Inc.'|pickens contracting|false
Parsons House Cypress|Parsons Group Inc.|TX|1.00|2.00|35.00|56500.00|473286203|'Parsons Corporation'|parsons|false
The Emeralds At Grand Rapids|Monarch|MN|1.00|2.00|74.00|127695.00|833143692|'Monarch Consulting Services'|monarch|false
John A. Dalsin & Son, Inc.|John A. Dalsin & Son, Inc.|MN|1.00|2.00|58.00|95068.00|411408661|'John A. Dalsin & Son Inc.'|john a. dalsin & son|false
Capitol Roofing Solutions LLC|Capitol Roofing Solutions LLC|IL|1.00|1.00|6.00|8961.00|821629584|'Capitol Roofing Inc.'|capitol roofing|false
SCS Red Hills|Southern Company Services|MS|1.00|2.00|68.00|142454.00|630274273|'Southern National'|southern|false
R&B Roofing|R&B Roofing LLC|TX|1.00|2.00|160.00|334573.00||'R&B Roofing LLC'|r&b roofing|false
Donan|Donan|KY|1.00|3.00|376.00|688344.00|461265363|'Donan'|donan|false
Service Roofing & Sheet Metal Co.-NC|Service Roofing & Sheet Metal Co.|NC|1.00|2.00|34.00|65336.00|561081076|'Service Roofing & Sheet Metal Company'|service roofing & sheet metal|false
Owens Corning|Owens Corning|TX|1.00|2.00|106.00|218474.00||'Owens Corning'|owens corning|false
Tri-State Roofing & Sheet Metal Company|Tri-State Roofing & Sheet Metal|WV|1.00|2.00|22.00|36808.00|471425515|'Tri-State Roofing & Sheet Metal Company'|tri-state roofing & sheet metal|false
Continental Tire the Americas LLC - Sumter Plant|Continental Tire the Americas LLC|SC|1.00|3.00|1362.00|2745796.00||'Continental Tire the Americas LLC.'|continental tire the americas|false
Warren Roofing & Insulating Company|Warren Roofing & Insulating Company|OH|1.00|2.00|91.00|161561.00|340604460|'Warren Roofing & Insulating Co.'|warren roofing & insulating|false
Tech Roofing Service, Inc.|Tech Roofing Service, Inc.|MA|1.00|2.00|22.00|44380.00|042730706|'Tech Roofing Service Inc.'|tech roofing service|false
Muleshoe Area Medical Center|Preferred Management|TX|1.00|2.00|123.00|169246.00|471743325|'Preferred Construction Services Inc.'|preferred|false
Assembly Solar 1 & 2|McCarthy Building Companies, Inc.|MI|1.00|2.00|134.00|277693.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Bighorn Solar 1|McCarthy Building Companies, Inc.|CO|1.00|2.00|220.00|458532.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
CRMC Tower D|McCarthy Building Companies, Inc.|AZ|1.00|2.00|24.00|50131.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
EVIT Power Campus|McCarthy Building Companies, Inc.|AZ|1.00|1.00|25.00|52620.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
ISTB-7|McCarthy Building Companies, Inc.|AZ|1.00|2.00|50.00|104157.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Mayo Clinic East Expansion|McCarthy Building Companies, Inc.|AZ|1.00|2.00|52.00|108224.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
PSHIA T4-S1|McCarthy Building Companies, Inc.|AZ|1.00|2.00|59.00|121935.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Sun Streams 2 Solar|McCarthy Building Companies, Inc.|AZ|1.00|2.00|80.00|166468.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Pyramid Peak WTP|McCarthy Building Companies, Inc.|AZ|1.00|2.00|25.00|52527.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
Yavapai OSB|McCarthy Building Companies, Inc.|AZ|1.00|2.00|54.00|112264.00|430399290|'McCarthy Building Companies'|mccarthy building companies|false
